Bat,Lesser long-nosed bat (Leptonycteris curasoae),
Bat,Mexican long-nosed bat (Leptonycteris nivalis),
Bat,Mexican long-tongued bat (Choeronycteris mexicana),
Bat,Other bat (describe in notes),
Bat,Unknown bat,
Beetle (Coleoptera),,
Bird,Oriole,Orchard Oriole (Icterus sperius)
Bird,Other Bird (describe in notes),
Bird,Other Hummingbird (describe in notes),
Bird,Unknown Bird,
Bird,Unknown hummingbird,
Bird,"Hummingbird (Western uncommon)",White-bellied Emerald (Amazilia candida)
Bird,"Hummingbird (Western uncommon)",Wedge-tailed Sabrewing (Campylopterus curvipennis)
Bird,"Hummingbird (Western uncommon)",White-bellied Mountain-gem (Lampornis hemileucus)
Bird,"Hummingbird (Western uncommon)",White-chested Emerald (Amazilia brevirostris)
Bird,"Hummingbird (Western uncommon)",White-crested Coquette (Lophornis adorabilis)
Bird,"Hummingbird (Western uncommon)",Volcano Hummingbird (Selasphorus flammula)
Bird,"Hummingbird (Western uncommon)",Violet-headed Hummingbird (Klais guimeti)
Bird,"Hummingbird (Western uncommon)",Violet Sabrewing (Campylopterus hemileucurus)
Bird,"Hummingbird (Western uncommon)",Violet-bellied Hummingbird (Damophila julie)
Bird,"Hummingbird (Western uncommon)",Violet-capped Hummingbird (Goldmania violiceps)
Bird,"Hummingbird (Western uncommon)",Violet-crowned Woodnymph (Thalurania colombica)
Bird,"Hummingbird (Western uncommon)",White-necked Jacobin (Florisuga mellivora)
Bird,"Hummingbird (Western uncommon)",White-tailed Emerald (Elvira chionura)
Bird,"Hummingbird (Western uncommon)",White-whiskered Hermit (Phaethornis yaruqui)
Bird,"Hummingbird (Western uncommon)",Wine-throated Hummingbird (Atthis ellioti)
Bird,"Hummingbird (Western uncommon)",White-vented Plumeleteer (Chalybura buffonii)
Bird,"Hummingbird (Western uncommon)",White-tipped Sicklebill (Eutoxeres aquila)
Bird,"Hummingbird (Western uncommon)",White-tailed Goldenthroat (Polytmus guainumbi)
Bird,"Hummingbird (Western uncommon)",White-tailed Hummingbird (Eupherusa poliocerca)
Bird,"Hummingbird (Western uncommon)",White-tailed Sabrewing (Campylopterus ensipennis)
Bird,"Hummingbird (Western uncommon)",White-throated Mountain-gem (Lampornis castaneoventris)
Bird,"Hummingbird (Western uncommon)",Vervain Hummingbird (Mellisuga minima)
Bird,"Hummingbird (Western uncommon)",Veraguan Mango (Anthracothorax veraguensis)
Bird,"Hummingbird (Western uncommon)",Rufous-shafted Woodstar (Chaetocercus jourdanii)
Bird,"Hummingbird (Western uncommon)",Rufous-tailed Hummingbird (Amazilia tzacatl)
Bird,"Hummingbird (Western uncommon)",Sapphire-throated Hummingbird (Lepidopyga coeruleogularis)
Bird,"Hummingbird (Western uncommon)",Rufous-crested Coquette (Lophornis delattrei)
Bird,"Hummingbird (Western uncommon)",Rufous-breasted Hermit (Glaucis hirsutus)
Bird,"Hummingbird (Western uncommon)",Purple-throated Mountain-gem (Lampornis calolaemus)
Bird,"Hummingbird (Western uncommon)",Purple-throated Woodstar (Calliphlox mitchellii)
Bird,"Hummingbird (Western uncommon)",Ruby-topaz Hummingbird (Chrysolampis mosquitus)
Bird,"Hummingbird (Western uncommon)",Rufous Sabrewing (Campylopterus rufus)
Bird,"Hummingbird (Western uncommon)",Scintillant Hummingbird (Selasphorus scintilla)
Bird,"Hummingbird (Western uncommon)",Short-crested Coquette (Lophornis brachylophus)
Bird,"Hummingbird (Western uncommon)",Stripe-tailed Hummingbird (Eupherusa eximia)
Bird,"Hummingbird (Western uncommon)",Stripe-throated Hermit (Phaethornis striigularis)
Bird,"Hummingbird (Western uncommon)",Tooth-billed Hummingbird (Androdon aequatorialis)
Bird,"Hummingbird (Western uncommon)",Tufted Coquette (Lophornis ornatus)
Bird,"Hummingbird (Western uncommon)",Streamertail (Trochilus polytmus)
Bird,"Hummingbird (Western uncommon)",Steely-vented Hummingbird (Amazilia saucerrottei)
Bird,"Hummingbird (Western uncommon)",Slender Sheartail (Doricha enicura)
Bird,"Hummingbird (Western uncommon)",Snowcap (Microchera albocoronata)
Bird,"Hummingbird (Western uncommon)",Snowy-bellied Hummingbird (Amazilia edward)
Bird,"Hummingbird (Western uncommon)",Sparkling-tailed Hummingbird (Tilmatura dupontii)
Bird,"Hummingbird (Western uncommon)",Purple-throated Carib (Eulampis jugularis)
Bird,"Hummingbird (Western uncommon)",Scaly-breasted Hummingbird (Phaeochroa cuvierii)
Bird,"Hummingbird (Western uncommon)",Band-tailed Barbthroat (Threnetes ruckeri)
Bird,"Hummingbird (Western uncommon)",Bahama Woodstar (Calliphlox evelynae)
Bird,"Hummingbird (Western uncommon)",Beautiful Hummingbird (Calothorax pulcher)
Bird,"Hummingbird (Western uncommon)",Bee Hummingbird (Mellisuga helenae)
Bird,"Hummingbird (Western uncommon)",Black-crested Coquette (Lophornis helenae)
Bird,"Hummingbird (Western uncommon)",Azure-crowned Hummingbird (Amazilia cyanocephala)
Bird,"Hummingbird (Western uncommon)",Antillean Mango (Anthracothorax dominicus)
Bird,"Hummingbird (Western uncommon)",Amethyst-throated Hummingbird (Lampornis amethystinus)
Bird,"Hummingbird (Western uncommon)",Antillean Crested Hummingbird (Orthorhyncus cristatus)
Bird,"Hummingbird (Western uncommon)",Black-throated Mango (Anthracothorax nigricollis)
Bird,"Hummingbird (Western uncommon)",Blue-capped Hummingbird (Eupherusa cyanophrys)
Bird,"Hummingbird (Western uncommon)",Brace's Emerald (Chlorostilbon bracei)
